Datum;Diesel;Benzin
30.06.1987;91.4;94.8
30.06.1988;88.3;91.8
30.06.1989;95;109.5
30.06.1990;101.7;113.5
30.06.1991;106.8;127.2
30.06.1992;105.7;133.9
30.06.1993;108.2;134.4
30.06.1994;114.1;150.7
30.06.1995;112.7;150
30.06.1996;121.8;156.6
30.06.1997;124.4;161.7
30.06.1998;114.4;154.1
30.06.1999;124.4;164
15.01.2000;151.6;184.3
15.02.2000;150.6;184.4
15.03.2000;154.4;194
15.04.2000;142.2;186
15.05.2000;143.5;185.4
15.06.2000;151.8;202.2
15.07.2000;150.2;200.9
15.08.2000;154.2;195.8
15.09.2000;173.3;203.4
15.10.2000;169.1;197.7
15.11.2000;172.3;200
15.12.2000;168.9;193.3
15.01.2001;161.6;187.2
15.02.2001;162.9;200.4
15.03.2001;162.3;199.9
15.04.2001;162.9;204.1
15.05.2001;164.5;215.1
15.06.2001;163;207.8
15.07.2001;161.9;196.5
15.08.2001;159.7;186.4
15.09.2001;160.5;196.9
15.10.2001;156.7;186
15.11.2001;154.7;182
15.12.2001;152.9;181
15.01.2002;80.4;96.1
15.02.2002;81.3;97.8
15.03.2002;83.3;101.5
15.04.2002;86;106.6
15.05.2002;84.1;104.3
15.06.2002;82.9;103.2
15.07.2002;82.9;103.2
15.08.2002;83.3;103.8
15.09.2002;85;105.2
15.10.2002;86.7;105.6
15.11.2002;83.3;101.6
15.12.2002;84.1;101.7
15.01.2003;90;108.5
15.02.2003;93.1;112
15.03.2003;96.8;111.6
15.04.2003;91;107.6
15.05.2003;85;104.6
15.06.2003;86.2;105.8
15.07.2003;85.9;105.8
15.08.2003;88;108.1
15.09.2003;85.1;106.7
15.10.2003;87;105.7
15.11.2003;86.6;104.7
15.12.2003;86.8;104.5
15.01.2004;87.2;105.2
15.02.2004;86.9;105.9
15.03.2004;87.6;107.3
15.04.2004;90.6;110.7
15.05.2004;94.8;116.3
15.06.2004;91.5;112.2
15.07.2004;93.6;114.9
15.08.2004;96.6;115.4
15.09.2004;95.6;113.3
15.10.2004;102.6;115.7
15.11.2004;101;111.6
15.12.2004;97;106.7
15.01.2005;95.9;107.2
15.02.2005;94.9;109.3
15.03.2005;100.2;112.3
15.04.2005;104.1;117
15.05.2005;102.9;115.9
15.06.2005;107.1;119.7
15.07.2005;109.9;123.6
15.08.2005;111.3;126.5
15.09.2005;113.6;134.3
15.10.2005;114;128.6
15.11.2005;110.3;121
15.12.2005;108.7;120.9
15.01.2006;109.6;124
15.02.2006;109.3;123.4
15.03.2006;110.9;123.9
15.04.2006;113.7;131.6
15.05.2006;112.8;131.9
15.06.2006;113;132.5
15.07.2006;115.1;135.5
15.08.2006;114.7;132.5
15.09.2006;109.2;121.4
15.10.2006;107.8;118.4
15.11.2006;107.2;117.9
15.12.2006;107.2;119.4
15.01.2007;107.4;120.9
15.02.2007;108.3;122.6
15.03.2007;110.9;127.2
15.04.2007;113.8;132.1
15.05.2007;114.2;136.8
15.06.2007;113.4;134.9
15.07.2007;115.3;135.2
15.08.2007;114.1;132.2
15.09.2007;117.8;134.6
15.10.2007;119.4;134.1
15.11.2007;130.2;140.2
15.12.2007;127.6;135.6
15.01.2008;125.1;136.6
15.02.2008;127;137.9
15.03.2008;132.1;140.7
15.04.2008;134.6;142.6
15.05.2008;145.2;148.3
15.06.2008;148.8;152.1
15.07.2008;148.2;151.9
15.08.2008;138.6;146.2
15.09.2008;135.8;145.6
15.10.2008;128.3;133.2
15.11.2008;119;120.2
15.12.2008;106.1;111.3
15.01.2009;106.1;115.1
15.02.2009;104;118.5
15.03.2009;101.7;119.1
15.04.2009;104.5;123.4
15.05.2009;104.9;128.4
15.06.2009;109.4;133.9
15.07.2009;107.4;129.1
15.08.2009;111.3;133.7
15.09.2009;108.3;129.7
15.10.2009;111.6;130.8
15.11.2009;112.1;132.9
15.12.2009;111.4;131.5
15.01.2010;115.1;135.5
15.02.2010;113.9;135
15.03.2010;119.3;141.1
15.04.2010;122.9;143.7
15.05.2010;122.9;142.5
15.06.2010;123.7;142.9
15.07.2010;120.6;140.3
15.08.2010;120;138.9
15.09.2010;121.4;138.7
15.10.2010;122.5;138.8
15.11.2010;124.1;140.3
15.12.2010;130.6;146
15.01.2011;132.5;148
15.02.2011;137.2;148.3
15.03.2011;143.2;151.9
15.04.2011;144.8;156.4
15.05.2011;140.2;156.4
15.06.2011;140.7;152.5
15.07.2011;142;154.7
15.08.2011;138.9;151.2
15.09.2011;142.1;154.5
15.10.2011;143.7;152.2
15.11.2011;145.3;150.6
15.12.2011;142;149.5
15.01.2012;144;153.6
15.02.2012;148;158.7
15.03.2012;152.2;164.6
15.04.2012;150.6;165.6
15.05.2012;145.9;160
15.06.2012;140.4;155.1
15.07.2012;144.5;158.6
15.08.2012;151.2;165.6
15.09.2012;152.4;167.1
15.10.2012;150.7;160.2
15.11.2012;149;155.5
15.12.2012;144.7;153.4
15.01.2013;144;154.1
15.02.2013;144.9;158.2
15.03.2013;141.2;155.2
15.04.2013;141.2;156.5
15.05.2013;140.5;155.3
15.06.2013;140;155.2
15.07.2013;142.7;157.7
15.08.2013;142.9;157.8
15.09.2013;144;156.3
15.10.2013;141.4;151.8
15.11.2013;140.2;150.5
15.12.2013;140.8;151
15.01.2014;137.8;148.6
15.02.2014;137.8;149.1
15.03.2014;136.9;149.2
15.04.2014;137.7;153
15.05.2014;137.7;153.6
15.06.2014;138.5;155.8
15.07.2014;137.3;155
15.08.2014;137;152.4
15.09.2014;136.2;152.1
15.10.2014;132.5;147.7
15.11.2014;129.9;143
15.12.2014;120.3;131.7
15.01.2015;113.4;126.5
15.02.2015;118.5;132.5
15.03.2015;121;138.1
15.04.2015;122;142.4
15.05.2015;125.2;145.8
15.06.2015;123;146.5
15.07.2015;120.2;146.8
15.08.2015;114.3;140.2
15.09.2015;113.9;134
15.10.2015;112.9;131
15.11.2015;113.9;132
15.12.2015;105.5;127.5
15.01.2016;99.1;123.6
15.02.2016;98.4;119.8
15.03.2016;102.7;121.3
15.04.2016;103.7;126.8
15.05.2016;108.6;130.4
15.06.2016;111.4;132.6
15.07.2016;109.3;129.4
15.08.2016;108;127.8
15.09.2016;109.6;129.4
15.10.2016;113.7;132
15.11.2016;112.1;129.6
15.12.2016;117.5;134.5
15.01.2017;119;136.8
15.02.2017;118.7;137.4
15.03.2017;116.5;134.2
15.04.2017;117.1;136.7
15.05.2017;114.4;134.4
15.06.2017;111.5;132.5
15.07.2017;111.5;131.3
15.08.2017;112.8;132.5
15.09.2017;115.6;135.5
15.10.2017;117.2;133.5
15.11.2017;119.1;136.5
15.12.2017;120;135.6
15.01.2018;120.9;135.5
15.02.2018;118.7;134.2
15.03.2018;118.3;132.4
15.04.2018;121.4;137.1
15.05.2018;127.7;143.7
15.06.2018;128.7;144.5
15.07.2018;129.6;144.5
15.08.2018;129.6;146.8
15.09.2018;133.7;150
15.10.2018;138.8;151.4
15.11.2018;143.1;152.6
15.12.2018;130.7;141.2
15.01.2019;123.8;132.9
15.02.2019;125.3;132.5
15.03.2019;126.5;135.7
15.04.2019;127.9;144.7
15.05.2019;130.2;150.8
15.06.2019;126.1;147.8
15.07.2019;125.2;144.8
15.08.2019;124.1;141.2
15.09.2019;126;139.7
15.10.2019;126.3;138.4
15.11.2019;125.7;138.3
15.12.2019;127.2;138.7
15.01.2020;129.9;140.3
15.02.2020;123.9;138.3
15.03.2020;115.4;128.3
15.04.2020;108.2;117.1
15.05.2020;105;117
15.06.2020;108.6;123.9
15.07.2020;109;125.6
15.08.2020;108.2;124.8
15.09.2020;104.9;124.5
15.10.2020;104.2;122.8
15.11.2020;105.6;120.2
15.12.2020;110.9;123.1
15.01.2021;123.3;135.1
15.02.2021;127.6;139.4
15.03.2021;131.5;145.4
15.04.2021;130.9;146.6
15.05.2021;133.1;148.3
15.06.2021;136.3;150.7
15.07.2021;138.9;154.7
15.08.2021;138.6;155.7
15.09.2021;141.1;156.9
15.10.2021;153.3;165.1
15.11.2021;156;168
15.12.2021;151.9;160.5
15.01.2022;159.6;167
15.02.2022;166.2;174.2
15.03.2022;214;206.9
15.04.2022;202.4;197
15.05.2022;203.3;206.4
15.06.2022;201.9;191.1
15.07.2022;195.6;179.5
15.08.2022;195.9;172.9
15.09.2022;207.8;194
15.10.2022;210.5;190.9
15.11.2022;196.7;183.1
15.12.2022;181.1;169
15.01.2023;183.3;174.5
15.02.2023;175.4;175.4
15.03.2023;171.5;176.3
15.04.2023;167;180.5
15.05.2023;158.6;178.6
15.06.2023;159;179.1
15.07.2023;164.1;180.5
15.08.2023;176.6;186
15.09.2023;183.2;188.4
15.10.2023;181.9;181.3
15.11.2023;176;176.1
